,0
0,/Users/georgetzanetakis/data/sound/genres/pop/pop.00027.wav
1,/Users/georgetzanetakis/data/sound/genres/pop/pop.00033.wav
2,/Users/georgetzanetakis/data/sound/genres/pop/pop.00032.wav
3,/Users/georgetzanetakis/data/sound/genres/pop/pop.00026.wav
4,/Users/georgetzanetakis/data/sound/genres/pop/pop.00030.wav
5,/Users/georgetzanetakis/data/sound/genres/pop/pop.00024.wav
6,/Users/georgetzanetakis/data/sound/genres/pop/pop.00018.wav
7,/Users/georgetzanetakis/data/sound/genres/pop/pop.00019.wav
8,/Users/georgetzanetakis/data/sound/genres/pop/pop.00025.wav
9,/Users/georgetzanetakis/data/sound/genres/pop/pop.00031.wav
10,/Users/georgetzanetakis/data/sound/genres/pop/pop.00009.wav
11,/Users/georgetzanetakis/data/sound/genres/pop/pop.00035.wav
12,/Users/georgetzanetakis/data/sound/genres/pop/pop.00021.wav
13,/Users/georgetzanetakis/data/sound/genres/pop/pop.00020.wav
14,/Users/georgetzanetakis/data/sound/genres/pop/pop.00034.wav
15,/Users/georgetzanetakis/data/sound/genres/pop/pop.00008.wav
16,/Users/georgetzanetakis/data/sound/genres/pop/pop.00022.wav
17,/Users/georgetzanetakis/data/sound/genres/pop/pop.00036.wav
18,/Users/georgetzanetakis/data/sound/genres/pop/pop.00037.wav
19,/Users/georgetzanetakis/data/sound/genres/pop/pop.00023.wav
20,/Users/georgetzanetakis/data/sound/genres/pop/pop.00044.wav
21,/Users/georgetzanetakis/data/sound/genres/pop/pop.00050.wav
22,/Users/georgetzanetakis/data/sound/genres/pop/pop.00078.wav
23,/Users/georgetzanetakis/data/sound/genres/pop/pop.00087.wav
24,/Users/georgetzanetakis/data/sound/genres/pop/pop.00093.wav
25,/Users/georgetzanetakis/data/sound/genres/pop/pop.00092.wav
26,/Users/georgetzanetakis/data/sound/genres/pop/pop.00086.wav
27,/Users/georgetzanetakis/data/sound/genres/pop/pop.00079.wav
28,/Users/georgetzanetakis/data/sound/genres/pop/pop.00051.wav
29,/Users/georgetzanetakis/data/sound/genres/pop/pop.00045.wav
30,/Users/georgetzanetakis/data/sound/genres/pop/pop.00053.wav
31,/Users/georgetzanetakis/data/sound/genres/pop/pop.00047.wav
32,/Users/georgetzanetakis/data/sound/genres/pop/pop.00090.wav
33,/Users/georgetzanetakis/data/sound/genres/pop/pop.00084.wav
34,/Users/georgetzanetakis/data/sound/genres/pop/pop.00085.wav
35,/Users/georgetzanetakis/data/sound/genres/pop/pop.00091.wav
36,/Users/georgetzanetakis/data/sound/genres/pop/pop.00046.wav
37,/Users/georgetzanetakis/data/sound/genres/pop/pop.00052.wav
38,/Users/georgetzanetakis/data/sound/genres/pop/pop.00056.wav
39,/Users/georgetzanetakis/data/sound/genres/pop/pop.00042.wav
40,/Users/georgetzanetakis/data/sound/genres/pop/pop.00095.wav
41,/Users/georgetzanetakis/data/sound/genres/pop/pop.00081.wav
42,/Users/georgetzanetakis/data/sound/genres/pop/pop.00080.wav
43,/Users/georgetzanetakis/data/sound/genres/pop/pop.00094.wav
44,/Users/georgetzanetakis/data/sound/genres/pop/pop.00043.wav
45,/Users/georgetzanetakis/data/sound/genres/pop/pop.00057.wav
46,/Users/georgetzanetakis/data/sound/genres/pop/pop.00069.wav
47,/Users/georgetzanetakis/data/sound/genres/pop/pop.00041.wav
48,/Users/georgetzanetakis/data/sound/genres/pop/pop.00055.wav
49,/Users/georgetzanetakis/data/sound/genres/pop/pop.00082.wav
50,/Users/georgetzanetakis/data/sound/genres/pop/pop.00096.wav
51,/Users/georgetzanetakis/data/sound/genres/pop/pop.00097.wav
52,/Users/georgetzanetakis/data/sound/genres/pop/pop.00083.wav
53,/Users/georgetzanetakis/data/sound/genres/pop/pop.00054.wav
54,/Users/georgetzanetakis/data/sound/genres/pop/pop.00040.wav
55,/Users/georgetzanetakis/data/sound/genres/pop/pop.00068.wav
56,/Users/georgetzanetakis/data/sound/genres/pop/pop.00065.wav
57,/Users/georgetzanetakis/data/sound/genres/pop/pop.00071.wav
58,/Users/georgetzanetakis/data/sound/genres/pop/pop.00059.wav
59,/Users/georgetzanetakis/data/sound/genres/pop/pop.00058.wav
60,/Users/georgetzanetakis/data/sound/genres/pop/pop.00070.wav
61,/Users/georgetzanetakis/data/sound/genres/pop/pop.00064.wav
62,/Users/georgetzanetakis/data/sound/genres/pop/pop.00072.wav
63,/Users/georgetzanetakis/data/sound/genres/pop/pop.00066.wav
64,/Users/georgetzanetakis/data/sound/genres/pop/pop.00099.wav
65,/Users/georgetzanetakis/data/sound/genres/pop/pop.00098.wav
66,/Users/georgetzanetakis/data/sound/genres/pop/pop.00067.wav
67,/Users/georgetzanetakis/data/sound/genres/pop/pop.00073.wav
68,/Users/georgetzanetakis/data/sound/genres/pop/pop.00077.wav
69,/Users/georgetzanetakis/data/sound/genres/pop/pop.00063.wav
70,/Users/georgetzanetakis/data/sound/genres/pop/pop.00088.wav
71,/Users/georgetzanetakis/data/sound/genres/pop/pop.00089.wav
72,/Users/georgetzanetakis/data/sound/genres/pop/pop.00062.wav
73,/Users/georgetzanetakis/data/sound/genres/pop/pop.00076.wav
74,/Users/georgetzanetakis/data/sound/genres/pop/pop.00048.wav
75,/Users/georgetzanetakis/data/sound/genres/pop/pop.00060.wav
76,/Users/georgetzanetakis/data/sound/genres/pop/pop.00074.wav
77,/Users/georgetzanetakis/data/sound/genres/pop/pop.00075.wav
78,/Users/georgetzanetakis/data/sound/genres/pop/pop.00061.wav
79,/Users/georgetzanetakis/data/sound/genres/pop/pop.00049.wav
80,/Users/georgetzanetakis/data/sound/genres/pop/pop.00006.wav
81,/Users/georgetzanetakis/data/sound/genres/pop/pop.00012.wav
82,/Users/georgetzanetakis/data/sound/genres/pop/pop.00013.wav
83,/Users/georgetzanetakis/data/sound/genres/pop/pop.00007.wav
84,/Users/georgetzanetakis/data/sound/genres/pop/pop.00011.wav
85,/Users/georgetzanetakis/data/sound/genres/pop/pop.00005.wav
86,/Users/georgetzanetakis/data/sound/genres/pop/pop.00039.wav
87,/Users/georgetzanetakis/data/sound/genres/pop/pop.00038.wav
88,/Users/georgetzanetakis/data/sound/genres/pop/pop.00004.wav
89,/Users/georgetzanetakis/data/sound/genres/pop/pop.00010.wav
90,/Users/georgetzanetakis/data/sound/genres/pop/pop.00028.wav
91,/Users/georgetzanetakis/data/sound/genres/pop/pop.00014.wav
92,/Users/georgetzanetakis/data/sound/genres/pop/pop.00000.wav
93,/Users/georgetzanetakis/data/sound/genres/pop/pop.00001.wav
94,/Users/georgetzanetakis/data/sound/genres/pop/pop.00015.wav
